id,label,L,a,b
0,Blue,14,30,-51
1,Blue,15,28,-51
2,Grey,30,3,-12
3,Grey,31,3,-12
4,Silver,73,-5,-13
5,Silver,70,-4,-9
6,Silver,67,-2,-10
7,Gold,50,0,29
8,Gold,52,0,27
9,Gold,55,-2,26
10,Blue,21,30,-57
11,Blue,24,27,-55
12,Grey,40,2,-19
13,Grey,40,2,-18
14,Silver,78,1,-15
15,Silver,75,0,-12
16,Gold,56,3,26
17,Gold,57,1,26
18,Blue,20,27,-52
19,Blue,25,18,-47
20,Grey,36,5,-13
21,Silver,75,0,-14
22,Silver,73,-1,-14
23,Silver,69,0,-9
24,Silver,70,1,-9
25,Gold,67,-2,20
26,Gold,70,-3,21
27,Gold,69,-5,24
28,Gold,70,-5,24
29,Blue,18,38,-61
30,Blue,16,39,-61
31,Blue,20,27,-52
32,Grey,37,2,-9
33,Grey,37,2,-9
34,Silver,80,-3,-15
35,Silver,80,-1,-14
36,Gold,69,-4,28
37,Gold,72,-6,27
38,Gold,70,-2,25
39,Gold,74,-3,24
40,Blue,16,20,-43
41,Blue,17,22,-45
42,Grey,33,0,-8
43,Grey,33,0,-2
44,Silver,65,-7,-1
45,Silver,63,-4,-5
46,Gold,47,-1,24
47,Gold,42,3,24
48,Gold,38,4,25
49,Blue,51,3,-50
50,Blue,50,-3,-40
51,Grey,60,-1,-4
52,Grey,60,-1,-6
53,Silver,86,-8,-5
54,Gold,80,-3,44
55,Gold,79,-2,43
56,Gold,78,-1,38
57,Blue,53,4,-49
58,Blue,45,17,-63
59,Blue,54,2,-48
60,Grey,63,-2,-13
61,Grey,64,-2,-12
62,Silver,92,-7,-8
63,Silver,92,-6,-10
64,Gold,90,-7,25
65,Gold,86,-5,24
66,Gold,92,-7,21
67,Blue,25,21,-51
68,Blue,42,7,-37
69,Blue,27,14,-43
70,Grey,41,6,-5
71,Silver,92,1,-1
72,Silver,92,-1,-9
73,Silver,92,-2,-6
74,Gold,85,4,31
75,Gold,86,4,29
76,Blue,21,21,-49
77,Blue,21,21,-49
78,Grey,39,5,-10
79,Silver,85,2,4
80,Silver,87,3,-1
81,Gold,88,4,39
82,Gold,88,3,37
83,Blue,25,6,-32
84,Blue,22,15,-43
85,Grey,36,4,-7
86,Silver,93,0,-1
87,Silver,92,1,-8
88,Silver,93,-1,-10
89,Silver,91,-1,-7
90,Gold,91,2,29
91,Gold,91,2,29
92,Gold,85,1,37
93,Gold,78,2,36
94,Brown,15,29,19
95,Brown,16,27,19
96,Brown,18,27,15
97,Black,3,17,-32
98,Black,6,20,-33
99,Black,8,13,-28
100,Black,6,19,-35
101,Black,3,21,-33
102,Black,9,14,-30
103,Brown,15,30,10
104,Brown,15,28,14
105,Brown,19,25,6
106,Brown,17,26,9
107,Brown,14,25,16
108,Brown,11,28,16
109,Brown,12,27,15
110,Black,12,5,-12
111,Black,10,9,-18
112,Black,6,16,-31
113,Black,3,19,-31
114,Brown,16,26,8
115,Brown,15,28,13
116,Brown,19,24,9
117,Brown,16,31,19
118,Brown,18,28,22
119,Brown,23,27,16
120,Brown,28,22,10
121,Black,5,13,-26
122,Black,6,16,-30
123,Black,7,19,-34
124,Black,8,16,-32
125,Brown,18,28,10
126,Brown,21,27,9
127,Brown,22,24,5
128,Brown,25,21,7
129,Brown,24,29,7
130,Brown,23,30,14
131,Brown,23,27,14
132,Brown,28,23,8
133,Black,10,18,-35
134,Black,11,8,-24
135,Black,9,23,-29
136,Black,9,23,-29
137,Brown,25,26,4
138,Brown,24,27,5
139,Brown,24,24,9
140,Brown,26,24,14
141,Brown,16,28,19
142,Brown,16,25,20
143,Brown,22,22,13
144,Brown,28,17,10
145,Black,7,18,-33
146,Black,7,16,-25
147,Black,7,14,-25
148,Black,7,18,-32
149,Black,5,18,-29
150,Black,7,17,-29
151,Brown,22,26,-8
152,Brown,23,26,5
153,Brown,21,27,17
154,Brown,22,27,14
155,Brown,72,8,11
156,Brown,47,14,20
157,Brown,30,26,21
158,Black,25,-3,-14
159,Black,23,-3,-22
160,Brown,43,20,9
161,Brown,63,7,4
162,Black,33,0,-16
163,Brown,45,22,13
164,Brown,36,13,-1
165,Brown,40,20,17
166,Black,18,-3,-16
167,Black,20,-3,-11
168,Black,20,4,-20
169,Black,19,7,-22
170,Brown,30,27,8
171,Brown,31,27,11
172,Brown,39,14,2
173,Brown,38,19,9
174,Brown,50,15,14
175,Brown,41,19,20
176,Brown,33,23,20
177,Brown,31,18,15
178,Black,25,2,-29
179,Black,34,-3,-17
180,Black,26,-2,-15
181,Black,24,-6,-19
182,Brown,35,16,12
183,Brown,32,24,20
184,Brown,30,27,18
185,Brown,35,15,-6
186,Brown,50,13,8
187,Brown,52,8,5
188,Brown,42,37,25
189,Brown,40,41,38
190,Brown,40,43,40
191,Brown,43,33,27
192,Brown,65,11,8
193,Black,18,11,-24
194,Black,15,13,-23
195,Black,12,18,-29
196,Black,14,16,-30
197,Brown,41,37,25
198,Brown,43,39,28
199,Brown,42,39,35
200,Brown,41,38,34
201,Brown,49,37,28
202,Brown,52,38,30
203,Brown,49,35,28
204,Black,25,9,-28
205,Black,21,10,-29
206,Black,31,12,-45
207,Black,28,13,-34
208,Black,32,9,-32
209,Black,34,13,-48
210,Brown,52,36,16
211,Brown,53,31,5
212,Brown,49,35,10
213,Brown,52,32,24
214,Brown,51,29,8
215,Brown,54,26,10
216,Brown,21,19,1
217,Brown,21,18,2
218,Black,16,9,-25
219,Black,18,5,-21
