id,name,label,L,a,b,B,G,R,H,S,V,Y,Cr,Cb
0,blue-grey-silver-gold-0.jpg,Blue,14,30,-51,112,24,0,161,255,112,27,109,176
1,blue-grey-silver-gold-0.jpg,Blue,15,28,-51,114,28,0,160,255,114,29,107,176
2,blue-grey-silver-gold-0.jpg,Grey,30,3,-12,91,72,67,162,67,91,73,124,138
3,blue-grey-silver-gold-0.jpg,Grey,31,3,-12,92,73,68,162,67,92,74,124,138
4,blue-grey-silver-gold-0.jpg,Silver,73,-5,-13,204,185,158,146,58,204,179,113,142
5,blue-grey-silver-gold-0.jpg,Silver,70,-4,-9,190,176,157,146,44,190,172,117,138
6,blue-grey-silver-gold-0.jpg,Silver,67,-2,-10,183,167,151,149,45,183,164,119,139
7,blue-grey-silver-gold-0.jpg,Gold,50,0,29,70,118,136,31,124,136,118,141,101
8,blue-grey-silver-gold-0.jpg,Gold,52,0,27,79,125,142,31,113,142,125,140,102
9,blue-grey-silver-gold-0.jpg,Gold,55,-2,26,87,132,145,33,102,145,131,138,103
10,blue-grey-silver-gold-0.jpg,Blue,34,7,-25,122,80,67,161,115,122,81,118,151
11,blue-grey-silver-gold-0.jpg,Blue,28,7,-30,112,66,42,156,159,112,64,112,155
12,blue-grey-silver-gold-0.jpg,Grey,34,1,-9,94,80,74,158,54,94,80,124,136
13,blue-grey-silver-gold-0.jpg,Grey,39,-1,-3,98,94,89,147,23,98,93,125,131
14,blue-grey-silver-gold-1.jpg,Blue,21,30,-57,139,42,4,159,248,139,42,101,183
15,blue-grey-silver-gold-1.jpg,Blue,24,27,-55,143,49,13,159,232,143,49,102,181
16,blue-grey-silver-gold-1.jpg,Grey,40,2,-19,127,96,81,157,92,127,95,118,146
17,blue-grey-silver-gold-1.jpg,Grey,40,2,-18,125,96,81,156,90,125,95,118,145
18,blue-grey-silver-gold-1.jpg,Silver,78,1,-15,221,194,180,156,47,221,193,119,144
19,blue-grey-silver-gold-1.jpg,Silver,75,0,-12,209,187,175,156,41,209,186,120,141
20,blue-grey-silver-gold-1.jpg,Gold,56,3,26,89,131,154,28,108,154,133,143,103
21,blue-grey-silver-gold-1.jpg,Gold,57,1,26,92,135,154,30,103,154,136,141,103
22,blue-grey-silver-gold-2.jpg,Blue,20,27,-52,128,40,3,158,249,128,39,102,178
23,blue-grey-silver-gold-2.jpg,Blue,25,18,-47,133,55,18,157,220,133,53,103,173
24,blue-grey-silver-gold-2.jpg,Grey,36,5,-13,108,85,83,167,59,108,87,125,140
25,blue-grey-silver-gold-2.jpg,Silver,75,0,-14,211,186,170,154,50,211,184,118,143
26,blue-grey-silver-gold-2.jpg,Silver,73,-1,-14,207,183,165,152,52,207,180,117,143
27,blue-grey-silver-gold-2.jpg,Silver,69,0,-9,185,170,161,155,33,185,169,122,137
