id,name,label,L,a,b,B,G,R,H,S,V,Y,Cr,Cb
0,blue-grey-silver-gold-0.jpg,Blue,13,11,-29,76,32,19,161,191,76,33,118,152
1,blue-grey-silver-gold-0.jpg,Blue,9,17,-33,70,21,5,160,237,70,22,116,155
2,blue-grey-silver-gold-0.jpg,Blue,7,17,-33,67,18,2,160,247,67,19,116,155
3,blue-grey-silver-gold-0.jpg,Blue,10,14,-31,70,24,6,159,233,70,24,115,154
4,blue-grey-silver-gold-0.jpg,Blue,10,12,-29,70,27,10,159,219,70,27,116,152
5,blue-grey-silver-gold-0.jpg,Blue,24,4,-18,86,58,47,159,116,86,58,120,144
6,blue-grey-silver-gold-0.jpg,Grey,32,0,-1,79,77,77,171,6,79,77,128,129
7,blue-grey-silver-gold-0.jpg,Grey,19,3,-9,59,46,44,165,65,59,47,126,135
8,blue-grey-silver-gold-0.jpg,Grey,20,3,-8,60,47,45,165,64,60,48,126,135
9,blue-grey-silver-gold-0.jpg,Grey,15,3,-9,52,39,37,165,74,52,40,126,135
10,blue-grey-silver-gold-0.jpg,Grey,14,2,-9,48,36,32,160,85,48,36,125,135
11,blue-grey-silver-gold-0.jpg,Grey,12,4,-11,47,32,29,164,98,47,33,125,136
12,blue-grey-silver-gold-0.jpg,Grey,13,2,-9,47,35,31,160,87,47,35,125,135
13,blue-grey-silver-gold-0.jpg,Grey,14,1,-8,47,36,32,159,81,47,36,125,134
14,blue-grey-silver-gold-0.jpg,Grey,15,3,-9,51,39,37,165,70,51,40,126,134
15,blue-grey-silver-gold-0.jpg,Grey,18,3,-6,52,44,44,171,39,52,45,127,132
16,blue-grey-silver-gold-0.jpg,Grey,21,2,-4,56,50,51,178,27,56,51,128,131
17,blue-grey-silver-gold-0.jpg,Silver,50,0,4,113,120,123,30,21,123,120,130,124
18,blue-grey-silver-gold-0.jpg,Silver,50,1,2,116,119,123,18,15,123,120,130,126
19,blue-grey-silver-gold-0.jpg,Silver,49,1,0,119,118,120,235,4,120,119,129,128
20,blue-grey-silver-gold-0.jpg,Silver,49,0,-1,119,117,117,171,4,119,117,128,129
21,blue-grey-silver-gold-0.jpg,Silver,49,0,-1,118,116,115,156,6,118,116,127,129
22,blue-grey-silver-gold-0.jpg,Silver,47,0,-1,115,113,112,156,7,115,113,127,129
23,blue-grey-silver-gold-0.jpg,Silver,47,-1,-1,114,113,109,137,11,114,112,126,129
24,blue-grey-silver-gold-0.jpg,Silver,49,0,-1,118,116,115,156,6,118,116,127,129
25,blue-grey-silver-gold-0.jpg,Silver,47,0,-1,114,112,111,156,7,114,112,127,129
26,blue-grey-silver-gold-0.jpg,Silver,47,0,1,110,112,113,28,7,113,112,129,127
27,blue-grey-silver-gold-0.jpg,Silver,46,0,3,105,110,113,27,18,113,110,130,125
28,blue-grey-silver-gold-0.jpg,Gold,27,2,18,37,63,77,28,132,77,64,137,113
29,blue-grey-silver-gold-0.jpg,Gold,27,2,18,37,63,77,28,132,77,64,137,113
30,blue-grey-silver-gold-0.jpg,Gold,27,2,18,37,63,77,28,132,77,64,137,113
31,blue-grey-silver-gold-0.jpg,Gold,27,2,18,37,63,77,28,132,77,64,137,113
32,blue-grey-silver-gold-0.jpg,Gold,27,1,18,37,65,76,31,131,76,65,136,112
33,blue-grey-silver-gold-0.jpg,Gold,27,2,19,37,64,78,28,134,78,65,137,112
34,blue-grey-silver-gold-0.jpg,Gold,33,2,17,51,77,91,28,112,91,78,137,113
35,blue-grey-silver-gold-0.jpg,Gold,33,2,17,51,77,91,28,112,91,78,137,113
36,blue-grey-silver-gold-0.jpg,Gold,29,2,18,42,68,82,28,124,82,69,137,113
37,blue-grey-silver-gold-0.jpg,Gold,37,0,18,60,88,99,31,100,99,88,136,112
38,blue-grey-silver-gold-0.jpg,Gold,29,2,16,45,69,81,28,113,81,70,136,114
39,blue-grey-silver-gold-0.jpg,Gold,32,1,15,53,75,87,28,100,87,76,136,115
40,blue-grey-silver-gold-0.jpg,Noise,52,1,15,99,123,135,28,68,135,124,136,114
41,blue-grey-silver-gold-0.jpg,Noise,53,0,15,103,127,139,28,66,139,128,136,114
