,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
649,0.030982905982905984,Silver,0.7604790419161677,0.9084121933080483,Grey,0.6052631578947368,0.8524916964117606,VBbCrCb,4,0.1
646,0.029914529914529916,Silver,0.7696969696969697,0.9078762138130838,White,0.5952380952380952,0.8475756340540147,VBaCrCb,4,0.1
610,0.028846153846153848,Grey,0.75,0.9041805731077578,White,0.5238095238095238,0.8391331919858694,VGBCrCb,4,0.1
524,0.029914529914529916,Silver,0.7719298245614035,0.9031723153593377,White,0.6190476190476191,0.8474231802647048,SBYCrCb,4,0.1
564,0.027777777777777776,Silver,0.7664670658682635,0.9024588691576194,Grey,0.6052631578947368,0.842922142887674,VRBLCr,4,0.1
413,0.029914529914529916,Silver,0.7687861271676301,0.9023925754085341,White,0.5952380952380952,0.845705270078995,SVYCrCb,4,0.1
378,0.028846153846153848,Grey,0.7741935483870968,0.9019478050195748,White,0.5952380952380952,0.8428794000131921,SVGCrCb,4,0.1
629,0.028846153846153848,Silver,0.7664670658682635,0.9017360377682875,Grey,0.6052631578947368,0.8432388204833318,VGbCrCb,4,0.1
656,0.029914529914529916,Silver,0.7411764705882353,0.9014708830611528,White,0.5714285714285714,0.8417344655780021,VLaCrCb,4,0.1
650,0.028846153846153848,Grey,0.75,0.9012038466340098,White,0.5476190476190477,0.8407165646148467,VBYCrCb,4,0.1
603,0.026709401709401708,Silver,0.7485029940119761,0.9010967843260203,White,0.5952380952380952,0.8361752580138169,VGBaCr,4,0.1
606,0.026709401709401708,Silver,0.7380952380952381,0.9005332965174595,Grey,0.5789473684210527,0.8340965546469934,VGBbCr,4,0.1
311,0.027777777777777776,Silver,0.7413793103448276,0.9003173800694465,Grey,0.6052631578947368,0.8392908779217053,HBbYCr,4,0.1
308,0.026709401709401708,Gold,0.7597765363128491,0.899958085552133,Grey,0.6052631578947368,0.8389945744372491,HBaYCr,4,0.1
779,0.03205128205128205,Silver,0.7411764705882353,0.89987227297407,Grey,0.6052631578947368,0.8497340344675304,BLbCrCb,4,0.1
761,0.029914529914529916,Silver,0.7267441860465116,0.8996019483376299,White,0.5952380952380952,0.8419430240034023,GLaCrCb,4,0.1
560,0.028846153846153848,Grey,0.75,0.8992842859231699,White,0.5476190476190477,0.835846801448393,VRGCrCb,4,0.1
84,0.030982905982905984,Silver,0.7650602409638554,0.8991711264882032,White,0.6190476190476191,0.8478363409228921,HSGCrCb,4,0.1
659,0.03205128205128205,Silver,0.7383720930232558,0.8991205804616151,White,0.5952380952380952,0.8429045958346711,VLbCrCb,4,0.1
754,0.028846153846153848,Gold,0.7613636363636364,0.8990363528413662,Grey,0.5789473684210527,0.8410296002909707,GBbCrCb,4,0.1
591,0.028846153846153848,Silver,0.7664670658682635,0.8990289526500754,White,0.5714285714285714,0.8380994619276477,VRaCrCb,4,0.1
633,0.028846153846153848,Silver,0.7440476190476191,0.8989112619039481,White,0.5952380952380952,0.838601250943147,VBLaCr,4,0.1
741,0.027777777777777776,Silver,0.7309941520467836,0.8987135421155658,Grey,0.5789473684210527,0.8385966179707809,GBLbCr,4,0.1
755,0.028846153846153848,Grey,0.75,0.8986543326926937,White,0.5476190476190477,0.839644342668129,GBYCrCb,4,0.1
