,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
192,0.03418803418803419,Silver,0.7777777777777778,0.89962315475237,Grey,0.6052631578947368,0.8609394689902357,CbCrSY,4,2
191,0.03418803418803419,Silver,0.7647058823529411,0.899098075314198,Grey,0.5789473684210527,0.858016075017543,CbCrSV,4,2
4,0.03632478632478633,Silver,0.7784431137724551,0.898861002689072,Grey,0.6052631578947368,0.8613329147727795,BCbCrS,4,2
214,0.03418803418803419,Grey,0.7666666666666667,0.8987703521004939,Grey,0.6052631578947368,0.865032881449808,CbGRS,4,2
72,0.03418803418803419,Silver,0.7588235294117647,0.8977214299892147,Grey,0.5789473684210527,0.8565287121287325,BCrSY,4,2
186,0.03418803418803419,Silver,0.7514792899408284,0.8971517068804479,Grey,0.5263157894736842,0.8560215336657027,CbCrRS,4,2
168,0.03632478632478633,Silver,0.7804878048780488,0.895184218487075,Grey,0.6052631578947368,0.8584295959769696,CbCrGS,4,2
66,0.03205128205128205,Silver,0.7398843930635838,0.8951096080589809,Grey,0.5263157894736842,0.8513491311637984,BCrRS,4,2
345,0.03311965811965812,Silver,0.7530864197530864,0.8938965608180655,Grey,0.5,0.852321266974235,CrLVb,4,2
51,0.03418803418803419,Silver,0.7592592592592593,0.8934313890911868,Grey,0.5526315789473685,0.8536286394995857,BCrGa,4,2
303,0.03311965811965812,Grey,0.7586206896551724,0.8933437951663884,Grey,0.5789473684210527,0.8477939687110392,CrGSV,4,2
71,0.03311965811965812,Grey,0.7333333333333333,0.8929983873195929,Grey,0.5789473684210527,0.854976262047532,BCrSV,4,2
63,0.035256410256410256,Silver,0.7455621301775148,0.8924425497037587,Grey,0.5526315789473685,0.8514848183539303,BCrLY,4,2
48,0.03311965811965812,Silver,0.7619047619047619,0.8920446059065061,Grey,0.6052631578947368,0.8496415395456984,BCrGS,4,2
78,0.03418803418803419,Silver,0.7560975609756098,0.8915164868819851,Grey,0.5,0.8499081823378796,BCrYa,4,2
216,0.03311965811965812,Grey,0.75,0.8903664299362954,Grey,0.5526315789473685,0.8524847148306378,CbGRY,4,2
266,0.03311965811965812,Grey,0.7407407407407407,0.8902186484158764,Grey,0.5263157894736842,0.8519812387438539,CbRSY,4,2
252,0.03418803418803419,Silver,0.7560975609756098,0.8901765011427537,Grey,0.5,0.847733164265809,CbLRY,4,2
64,0.035256410256410256,Silver,0.754601226993865,0.8898999400755574,Grey,0.5526315789473685,0.854004636427307,BCrLa,4,2
24,0.03418803418803419,Silver,0.7544910179640718,0.8898700902609792,Grey,0.5,0.8489111291478633,BCbLR,4,2
52,0.03418803418803419,Silver,0.7530120481927711,0.8898599857844407,Grey,0.5263157894736842,0.8524290425290033,BCrGb,4,2
68,0.035256410256410256,Silver,0.7682926829268293,0.8895761895366028,Grey,0.5526315789473685,0.8524474693860509,BCrRY,4,2
198,0.03418803418803419,Silver,0.7368421052631579,0.8895136275796888,Grey,0.5526315789473685,0.844591159580323,CbCrYa,4,2
33,0.03418803418803419,Silver,0.7409638554216867,0.8894067591447666,Grey,0.5,0.8476420240774778,BCbRa,4,2
309,0.03418803418803419,Silver,0.7515151515151515,0.8893662676309452,Grey,0.5,0.8494858181543623,CrGVb,4,2
196,0.035256410256410256,Silver,0.75,0.8891972737216011,Grey,0.5526315789473685,0.8485424389307114,CbCrVa,4,2
306,0.030982905982905984,Grey,0.7333333333333333,0.8891265778224582,Grey,0.5789473684210527,0.8448866715533833,CrGSb,4,2
189,0.035256410256410256,Silver,0.7485029940119761,0.8887935115367556,Grey,0.5,0.8459684382088153,CbCrRa,4,2
202,0.03205128205128205,Grey,0.6774193548387096,0.8887844597672658,Grey,0.5526315789473685,0.849588852032161,CbGHR,4,2
269,0.03418803418803419,Grey,0.75,0.8887364192333421,Grey,0.5526315789473685,0.8525044083987188,CbRVY,4,2
182,0.035256410256410256,Silver,0.757396449704142,0.8884889371668362,Grey,0.5526315789473685,0.8497243954586937,CbCrLV,4,2
49,0.03418803418803419,Grey,0.7241379310344828,0.8883978944738513,Grey,0.5526315789473685,0.8494731794025763,BCrGV,4,2
32,0.03311965811965812,Grey,0.75,0.8882417541868904,Grey,0.5526315789473685,0.8492895864380136,BCbRY,4,2
80,0.03632478632478633,Silver,0.7672955974842768,0.8880671032690994,Grey,0.5,0.8514091767880105,BCrab,4,2
60,0.03632478632478633,Silver,0.7575757575757576,0.8877850727587243,Grey,0.5526315789473685,0.8514903057940431,BCrLR,4,2
205,0.03205128205128205,Grey,0.7142857142857143,0.8877705767716496,Grey,0.5263157894736842,0.8435644324099782,CbGHY,4,2
215,0.03418803418803419,Grey,0.75,0.8877628641522656,Grey,0.5526315789473685,0.8517068912942753,CbGRV,4,2
30,0.03311965811965812,Silver,0.7470588235294118,0.8877503366256405,Grey,0.5263157894736842,0.8453337492016478,BCbRS,4,2
363,0.03205128205128205,Silver,0.7425149700598802,0.8875758903787617,Grey,0.5789473684210527,0.8459195363474012,CrSYb,4,2
208,0.03418803418803419,Silver,0.75,0.8875411389971588,Grey,0.5263157894736842,0.8467008341351143,CbGLR,4,2
62,0.03632478632478633,Grey,0.75,0.8874823480874673,Grey,0.5526315789473685,0.8552119677304956,BCrLV,4,2
14,0.03418803418803419,Silver,0.7440476190476191,0.887472299214213,Grey,0.6052631578947368,0.847186996789604,BCbGY,4,2
46,0.035256410256410256,Silver,0.7530120481927711,0.8874684802389535,Grey,0.5526315789473685,0.8478263759650114,BCrGL,4,2
219,0.03418803418803419,Grey,0.6875,0.8873370367778575,Grey,0.5789473684210527,0.8508011897133994,CbGSV,4,2
347,0.03311965811965812,Silver,0.7380952380952381,0.8869507759862068,Grey,0.5,0.8425386967119685,CrLYb,4,2
172,0.03632478632478633,Silver,0.7309941520467836,0.8869025326072923,Grey,0.5263157894736842,0.8437344782948393,CbCrGb,4,2
253,0.03632478632478633,Silver,0.7453416149068323,0.8866945305794419,Grey,0.5,0.8508352385875172,CbLRa,4,2
359,0.03418803418803419,Grey,0.7333333333333333,0.8866472306866454,Grey,0.5789473684210527,0.842106453688188,CrSVY,4,2
265,0.03418803418803419,Silver,0.7529411764705882,0.8866056750046987,Grey,0.5526315789473685,0.8433620311515839,CbRSV,4,2
2,0.035256410256410256,Grey,0.75,0.8865473562920023,Grey,0.5526315789473685,0.8488653444426055,BCbCrL,4,2
47,0.035256410256410256,Silver,0.7639751552795031,0.8865390440631227,Grey,0.5789473684210527,0.8463266124093176,BCrGR,4,2
218,0.03418803418803419,Silver,0.7321428571428571,0.8865010411844039,Grey,0.47368421052631576,0.8442955141173242,CbGRb,4,2
7,0.03632478632478633,Silver,0.7515527950310559,0.8864963169743023,Grey,0.5526315789473685,0.8518984726580766,BCbCra,4,2
220,0.035256410256410256,Grey,0.7419354838709677,0.8864929247986643,Grey,0.6052631578947368,0.8504594942541203,CbGSY,4,2
166,0.03418803418803419,Silver,0.7455621301775148,0.8863757656813364,Grey,0.5526315789473685,0.8435974719348002,CbCrGL,4,2
304,0.035256410256410256,Grey,0.6666666666666666,0.8863495345034008,Grey,0.5789473684210527,0.8482150792879677,CrGSY,4,2
8,0.035256410256410256,Silver,0.7455621301775148,0.8863195202569817,Grey,0.5,0.8491613344232599,BCbCrb,4,2
12,0.03418803418803419,Grey,0.7096774193548387,0.8862276397517975,Grey,0.5789473684210527,0.8410545386164431,BCbGS,4,2
183,0.03418803418803419,Grey,0.75,0.8861114600068305,Grey,0.5526315789473685,0.8466499749873032,CbCrLY,4,2
77,0.03418803418803419,Grey,0.75,0.8861029713111032,Grey,0.47368421052631576,0.8474583633218558,BCrVb,4,2
67,0.035256410256410256,Grey,0.7241379310344828,0.885775918718397,Grey,0.5526315789473685,0.8489827799660492,BCrRV,4,2
228,0.03311965811965812,Grey,0.7307692307692307,0.8857194719183581,Grey,0.5,0.8401792121735938,CbGab,4,2
250,0.03418803418803419,Grey,0.7407407407407407,0.8856888936636511,Grey,0.5263157894736842,0.8491274906219224,CbLRS,4,2
169,0.03418803418803419,Grey,0.7,0.8856270080441053,Grey,0.5526315789473685,0.8466802688478532,CbCrGV,4,2
197,0.035256410256410256,Silver,0.75,0.8855059372979084,Grey,0.5,0.8424921289093935,CbCrVb,4,2
190,0.035256410256410256,Silver,0.7485029940119761,0.885469131375502,Grey,0.5,0.8400263143231429,CbCrRb,4,2
217,0.035256410256410256,Silver,0.74375,0.8854217956421038,Grey,0.47368421052631576,0.8452534916870085,CbGRa,4,2
355,0.03418803418803419,Silver,0.7530864197530864,0.8853944464246191,Grey,0.5,0.8450850594168966,CrRVb,4,2
75,0.035256410256410256,Grey,0.7,0.8853758839576863,Grey,0.5526315789473685,0.8487796835172284,BCrVY,4,2
180,0.03632478632478633,Silver,0.7383720930232558,0.8853165467645037,Grey,0.5526315789473685,0.8443253506728584,CbCrLR,4,2
171,0.03632478632478633,Silver,0.727810650887574,0.8850540182020831,Grey,0.5526315789473685,0.8423543287618188,CbCrGa,4,2
276,0.03418803418803419,Grey,0.7142857142857143,0.8850487587056742,Grey,0.5263157894736842,0.8458181344384527,CbSVa,4,2
284,0.03418803418803419,Silver,0.7380952380952381,0.8848552931576386,Grey,0.5,0.8419557959552113,CbYab,4,2
31,0.03311965811965812,Grey,0.7241379310344828,0.8847745952043493,Grey,0.5526315789473685,0.845553565035194,BCbRV,4,2
199,0.035256410256410256,Silver,0.7294117647058823,0.8846617530647539,Grey,0.5263157894736842,0.8408143698797645,CbCrYb,4,2
